sentiment,text
neg,No likeable characters (the lead is a combination of the WORST of Woody Allen/Paul Provensa/Reiser) and the contrived scenes (did anyone REALLY think thiat kid on the rollerblades was NOT going to knock the guy down?) were just sickeningly bad.<br /><br />
neg,"The Cowboys could leave you a little sore in the saddle. Definitely not one of Johns best movies. Don't get me wrong, with any John Wayne move there is always some good spots. And this one has it's fair share. But over all the picture moves slow and just doesn't live up to the aspirations it could have been. Bruce Dern again does an outstanding job as the villain. Roscoe Lee Brown is another bright spot in the movie. The kids in the movie were average but could have been cast better. This would be a good movie for the eight to fifteen year old movie goers.<br /><br />This would be a good family move to watch with your children. Just be aware, there is a couple of scenes that you may want to take a look at before you let the young ones see it. But most kids that I know who have seen the movie like it. Maybe it's because they get to see kids their age do all the grown up work."
neg,"I don't know what it is about Donald Sutherland's acting style, or vocal style, but he always seems to be acting from behind a massive wad of soggy Kleenex. He's just...I don't know, THICK? Somnambulistic? On meds? Weird.<br /><br />That said, I just saw the flick again for the first time since its original release, and frankly, I don't remember it ending anything LIKE that. A bad ending, too, because nothing gets tied off. What about the dead husband? The annoying child (and was the kid dubbed?)? The Scotland Yard and military pursuers? I would have liked something wrapping things up and giving some dramatic closure to it all, not just the big panoramic pull-away.<br /><br />And what woman sleeps with the man she knows just killed her husband? Even if she was trying to allay Needle's suspicions to protect her kid, she could always have had a headache. That last encounter made me feel way too itchy and uncomfortable..."
neg,I bought this DVD after seeing it highly ranked here. It's just a short 20 minutes zombie film. Nothing special about it except for the music perhaps.<br /><br />Don't buy it! Not even really worth spending 20 minutes to see it. Only if you're really bored...
neg,"This documentary begins with an interesting premise -- it makes an intriguing and convincing argument that the history of Jesus as is commonly believed is probably a myth. Sadly, though, after priming us with this, the movie completely shifts gears and becomes little more than a non-stop attack on Christianity, and pretty much focusing on the easy targets.<br /><br />The writer/director clearly has some issues with the Church (he is a former evangelical Christian and has some legit anger) and this film seems to be his form of release. It'd be interesting to see the first 20 minutes expanded, but as a whole, the movie is disappointing."
neg,"If you hit your head with a shovel, write the script with your feet, you may come close to the intelligence level of this movie. There is nothing in this movie that hasn't been done a thousand times in other gangster flicks and done much better. Those who think ""Scarface"" was some kind of hero to be looked up to or saw ""Goodfellas"", ""Menace II Society"" or ""Dead Presidents"" and thought MMM ""That's the life for me!"" will like this movie. I thought I'd give the movie a chance, since the premise was perfect for a prequel. I should have known better after seeing Mario Van Peebles and Sean Combs were involved. Anyone above a 4th grade education, see the original with Pacino, a real actor, and be satisfied."
neg,"This film seemed way too long even at only 75 minutes. The problem with jungle horror films is that there is always way too much footage of people walking (through the jungle, up a rocky cliff, near a river or lake) to pad out the running time. The film is worth seeing for the laughable and naked native zombie with big bulging, bloody eyes which is always accompanied on the soundtrack with heavy breathing and lots of reverb. Eurotrash fans will be plenty entertained by the bad English dubbing, gratuitous female flesh and very silly makeup jobs on the monster and native extras. For a zombie/cannibal flick this was pretty light on the gore but then I probably didn't see an uncut version."
neg,"OK, I am not a professional movie critic but come on...a true story!!!!<br /><br />They are tunneling under another store to get underneath the bank and stumble across a tomb. At tomb with a passageway which goes directly under the bank.<br /><br />OK, I'll play along.<br /><br />But then they get into the bank and decide to go to sleep. Yeah!!! I am sure with all the adrenaline pumping through them they are going to just fall asleep. <br /><br />This blows the whole picture!!!! How lame!!!!!<br /><br />Glad I didn't have to pay to watch this one."
neg,"Effort aside (This isn't a review about good intentions, its about the final product), this film is poorly written, overacted, and poorly directed. The story obviously had potential, but that story is nowhere present in this film.<br /><br />Clara Barton was a human being. She had passions, desires, love, pain, embarrassment, weakness, and self doubt just like the rest of us. You would never know that from this film of the lead actress's performance. In fact apply that to every character in the film, but in Barton's case: Every sentence is a speech. An epic over the top speech as though from an inhuman robot. In fact the only scene that plays well in one in the board meeting, and I realized thats because she's making a speech! Every idea she has is unbelievable in its context and she comes up with ideas that sound like they take a lifetime of soul searching right on the spot. For example, when she sees a wounded man, she'll start pontificating about the needs of the battlefield and to protect soldiers and putting up white flags, etc. As played in the film, there's no WAY she could come up with such a detailed well thought out idea in seconds.<br /><br />IN conclusion, this film robs Clara Barton of her struggles. It robs her of her humanity, and it inherently cheapens all she did because the script is written in clichés. The writer doesn't know Clara Barton, and seems to have based his script on an encyclopedia Britannica article. (yes they had those back then) But hey, nice Technicolor! (who cares)"
neg,"This movie should have NEVER been made. From the poorly done animation, to the beyond bad acting. I am not sure at what point the people behind this movie said ""Ok, looks good! Lets do it!"" I was in awe of how truly horrid this movie was. At one point, which very may well have been the WORST point, a computer generated Saber Tooth of gold falls from the roof stabbing the idiot creator of the cats in the mouth...uh, ooookkkk. The villain of the movie was a paralyzed sabretooth that was killed within minutes of its first appearance. The other two manages to kill a handful of people prior to being burned and gunned down. Then, there is a random one awaiting victims in the jungle...which scares me for one sole reason. Will there be a Part Two? God, for the sake of humans everywhere I hope not.<br /><br />This movie was pure garbage. From the power point esquire credits to the slide show ending."
neg,"Forest Whitaker's performance is all the more impressive for making it almost worthwhile to sit through this dreck. ""Historical fiction"" does not justify changing history. The absurdity begins from the ground up with the imaginary lead character played by James McAvoy. To create a fictional observer for the purpose of giving the reader a point of connection in the book is regrettable, regrettable that white people can't just read a book without a white protagonist to connect to, but at least he was placed in a somewhat passive role. Making up a fake historical actor and crediting this fiction with exposing Amin to the world is irresponsible, lazy and stupid. Not making the actions of this creation believable or even sane is just criminal, and has opened the door for movies like the one they're planning to make with Leonardo DiCaprio as a heroic Enron whistleblower who NEVER EXISTED. The logic of the world does not apply in this film where some Scottish kid thinks its okay to sleep with the wife of a murderous dictator. It doesn't apply where the wife of the dictator desires to sleep with some stupid scrawny irresponsible white boy. For that matter EVERYBODY is lined up to sleep with this scrawny, irresponsible, arrogant white boy, he even has Gillian Anderson licking her comely chops.<br /><br />Let me declare, I do not like James McAvoy. I'm not sure what it is about him, but I thought his Mr. Tumnus in Narnia was creepy and pervy. I think that Kerry Washington would never look twice at him so I can't believe that the wife of a powerful dangerous man like Amin would risk and lose her life for him. I don't believe him as a Doctor, and I just don't see the appeal. His character seems to have far more arrogance than would make sense, and trying to make him look like a badass in shooting the cow was just...there's that word again...absurd. Think about it, you are watching all of these characters bend themselves into knots in order to accommodate this unbelievable main character and there never was such a guy.<br /><br />Gillian Anderson looks incredible and sounds more British than most Brits. Whitaker gives a great expansive magnetic performance, and highlighted, with his incomprehensible pre-Oscar speeches, just how much he was acting. It's a shame the film around him had no reason to exist."
neg,"After watching about half of this movie I noticed something peculiar ... I found myself constantly switching through tv-channels to see what else is on - not exactly a good movie trait.<br /><br />This movie is listed as being in a number of genres, and I must say it mostly failed misserably in every one of them. 80% through the movie I switched over to watch an old rerun instead. Bottom line - the whole movie felt as if the ones making it didn't exactly know what to make and ended up in a concoction with no discernable taste."
neg,"Republic pictures comes late in the game to the ""werewolf"" er Werecat genre. The plot has a writer returning to Paris after a long trip abroad during which he developed jungle fear during which he had blackouts. He is arriving to great acclaim as his novel that parallels an infamous trial is a best seller. The French government wants to know if he had access to secret documents, something that seems more likely when an official is killed by a ""catman"". Suspicion really falls on the writer when his fiancé ends up dead. Complicating matters is the return of the blackouts so the writer doesn't know if he's the killer or not.<br /><br />Okay thriller is much too leisurely to be fully enjoyed. There are too many musical numbers early on and too much dead time when things are all talk in the middle and later sections. The acting is fine and the sets quite good but there is a reason why most people I know only remember the top hatted killer, he's the most interesting thing in this film. despite its short running time (just over an hour) I think the reason that this film was rarely seen on TV was that after 20 minutes you begin to lose patience with it. As good as the talk is, I just wished someone would do something. When it finally did happen, in the closing minutes, it was too little too late..<br /><br />Take a pass."
neg,"Up until this new season I have been a big 'Little Mosque' fan. However, the new season had absolutely RUINED it.<br /><br />The new Christian vicar has destroyed the entire intent of the show. It has always been about living together to overcome prejudice. The new vicar ruins that premise and shows Christians in a very bad light.<br /><br />I am neither Christian or Muslim, but loved watching the show and seeing the camaraderie between Amar and the Reverend. Not any more.<br /><br />Just cancel it and be done with it. It's not worth watching any more.<br /><br />It might still be saved, but a lot of change would need to be made.<br /><br />Bring back the old format."
neg,"I'm sorry to say that there isn't really any way, in my opinion, that an Enzo would really be able to keep up with a Saleen S7 Twin Turbo. The power to weight advantage possessed by the S7 would just be too great. The S7 has a power:weight ratio of 3.93 lbs/hp while the Enzo has 4.61 lbs/hp. The S7s low end is much better too. Sorry Ferrari fans but the Saleen just gets it done so much better.<br /><br />As for other parts of this film, I just have to say it's so substandard as to be pathetic. The story is way too weak. The acting in this lemon is worse than daytime soaps.<br /><br />I can say that as far as it being a treatise on negative psychology its kind of a gem. This film is nothing if not a glaring definition as to what narcissism and sociopathy are all about. Its all about these rich punks getting their rocks off while showing only traces of feigned remorse for all the innocent road users they cause injury or death too.<br /><br />I can't give the film a ""1 Star"" rating because it didn't compel me to actually walk out of the theater. I also think that having an amazingly beautiful brunette with killer blue eyes as the leading female saves it from being completely abysmal....although there is no way her singing would put her on the cover of 'Variety'.<br /><br />ps: the guy who plays Jason is SOOOOO the skid row version of James Vanderbeek."
neg,"Although the actors were good, specially Fritzi Haberland as the blind Lilly, the film script is obsessively pretentious and completely arbitrary. A famous theatre director (Hilmir Snær Guðnason), becoming blind after a car accident, is on the run for himself and his destiny. Lilly, being sightless since her birth, is teacher for blind persons, and wants to make him ""seeing"" again. (Blind persons are seeing with their fingers, nose and ears.) Here this movie is becoming a roadmovie; and the longer the road becomes, the closer their relation develops, which was predictable since the beginning of the film. The theatre director is on the road to his mother (Jenny Gröllmann). His mother is living somewhere in Russia on the sea and making artistic installations - of course, what should she do other! - and she is still living, because she is waiting his son, to die. My God! This are destinies!<br /><br />Finally the son arrived! Mum is celebrating a big party! At the beach. Wind is blowing and a pianist is playing on a real piano in the middle of a dune. Yes, they are celebrating her farewell. The son arrives just in time. Mother can finally swallow the pills administered by a pretty nurse. Now a great artist can die in the arms of her great artist son, speaking sad contemplations about live in perfect German, while the son is answering with a rough accent. Because the son is unable to see, he is not falling in love to the nurse, - the film script would have become also too complicate! - but is looking for Lilly on the way back to home.<br /><br />Parallel to this roadmovie the sister of Lilly, staying at home is asking a gawky schoolmate to deflower her, who has first to booze himself to courage. The occasion is favourable. Because Mum (Tina Engel) is on journey together with the lover of Lilly, Paul (Harald Schrott). They are after Lilly, to bring her back. Paul and the mother of Lilly are not falling in love, because the film script would have become too complicate. The film script missed to make out of Paul something exceptional too. I would suggest an architect or a Pianist, or course a famous one! When they finally find Lilly, they want to convince her, to come back to Paul, because he has two eyes to see and is able to care for her. But Lilly felt in love to his pupil, the theatre director; did I mention, that he was even a famous theatre director?<br /><br />This is German film art! As you may see in this pretentious production, that the German film subsidy fund is not always producing good films, because they subsidy just such kind of pseudo intellectual films. This film is really embarrassing. I have the impression, that the film script has been cobbled together from some highbrows in coffee shops and restaurants. Everybody is entitled to contribute with an idea. Probably also Til Schweiger has contributed with some intellectual flash of wit, being a co-producer. I was reminded by this film script to an other German film of absolute painfulness: ""Barfuss"" - already the spelling of the title is not right! ""Barfuss"" DVD cover writes proudly: ""A Til Schweiger Film"". This film got also subsidies of Filmstiftung NRW, Filmförderung Hamburg and the FFA.<br /><br />Please don't spoil your time with this film! There are really good films in Germany. Watch out for film directors like Marcus H. Rosenmüller, Joseph Vilsmaier, Hans Steinbichler, Hans-Christian Schmid, Faith Akin ..."
neg,"Before this made for TV movie began, I had relatively low expectations. That's because it was made after the final episode of the series had aired and many of the series originals were gone. There is no President Sheridan, Delenn, Lennier, Londo, Vir, G'kar or Lyta. If you remember, on the second to last episode of the series, all the regulars except Zack, Vir and Captain Lockley left B-5 permanently. Now for this film they did bring back Garibaldi (who was not in the last B-5 movie) to join Zack and the Captain and the Doctor makes a brief and irrelevant appearance. But because so much is gone of the old chemistry, this film already is severely handicapped.<br /><br />The movie is about a Soul Hunter (Martin Sheen) who is led to Babylon 5 in search of a globe filled with souls that had been stolen from a hidden repository by an archaeologist (Ian McShane). A lot of spooky mumbo-jumbo stuff occurs but frankly it was all pretty silly and pointless. Yeah, yeah, the station nearly blew up but was saved and all, but frankly I felt like it was a case of ""been there done that--and done that a lot better in the past"".<br /><br />The secondary plot, provided more for comic relief, was much more interesting, as an entrepreneur installed a holo-brothel and those in command weren't sure what to do about it and when they tried to pressure them to close, they were slapped with a lawsuit. This was fluff, but it did provide a few laughs--something the other dreary plot was surely lacking.<br /><br />By the way, Sheen at first did a good job playing the Should Hunter--with his wild eyes and bizarre delivery. However, repeatedly throughout the episode he fell out of character. This should have been spotted and corrected.<br /><br />So the final verdict is this is only for total die-hard B-5 nuts (like myself). Others seeing it might assume the series sucked--which is a great injustice. This is a great example of a show not knowing when to quit."
neg,"Please make me forget. Please. Please. This is the worst film I have ever had the misfortune to watch. I consider the film an insult to my brain as well as my backside who both have suffered from me sitting and watching this film. I have yet to see what damage it has caused my sight and my ability to complete sentences. What a load of garbage!! And don't get me started about the acting... Someone please help me forget!! ""Weird Science"" -- come back!! Everything is forgiven...<br /><br />I am ""proud"" to give this film the first 1 here at IMDb... And I've voted for hundreds of films... Many of them c**p but this is so bad I can't even believe it. Someone actually came up with the idea and thought it was worthy of becoming a film? Someone actually read the script and decided to produce the film? Someone read the script and auditioned for it? Someone saw the film and decided *not* to put it on a shelf to collect dust for eternity? *These* are the questions I want answers to. Not the philosophical question about that tree in the woods and well, you know..."
neg,"This is one of those horror flicks where twenty-somethings fool around with the dark arts around a camp fire, getting into a heap of trouble for doing so. A portal was opened containing a world of demons known as the Kelippoth of the Sitra Achra by a man whose daughter, Summer, gets kidnapped by something, taken into it. Summer is trained by a mysterious group whose identities are never revealed to battle the demon monsters. This is a portion of the plot which lends itself to scrutiny. Anyway, three wannabee witches, who went to high school together, Renea, the most enthusiastic, serious practitioner in the dark arts, and her lesbian cohorts, Jasmine and Marlene(..it's more or less a passing fad with them, though..) join up with buddies, Jason and Ricky, on a trip in the wilderness where Summer vanished from her home ten years ago. Opening the portal through a spoken text written in an ancient book, a demon is set free, as is Summer, now a warrior babe whose training has led to a very fit and athletic body and skills that have been needed to ward off monsters in the other world.<br /><br />Low budget contains a loopy, but ambitious story, restraining it into a confined setting. These young adults spend a lot of time running around in the woods hoping not to be fodder for a beast. As can be the case in these movies, the demon stands on the sidelines while the story develops as Summer attempts to remember how everything came to pass, while befriending Jason who wishes to help her restore the lost time. The action is shot mostly in the dark, making any violence hard to decipher. Brigitte Kingsley(and the rest of the female cast for that matter), is some mighty nice eye candy, dressed scantily clad as a female Conan, a gorgeous body we have to pleasure to gaze upon from the moment she appears until the closing of the movie. Some lesbianism(..some kissing and fondling)and nudity spice things up nicely, and the cast seem to be having fun with the goofy plot..it's so preposterous that the silly tone is probably appropriate for the material.<br /><br />Might be of interest for co-starring World Wrestling Entertainment's ""Captain Courageous"" Christian(real name, Jason Reso)as one of the group, spoofing his alter ego, as a chicken, quivering at the sound of a snapping tree twig. Landy Cannon is likable as unlikely hero, Jason, a lovestruck, naive young man whose ex-fiancé, Jasmine(Vanessa James)is now bi-sexual and in love with Marlene(..Jasmine's cruelty is in toying with Jason's feelings by hiding her affair with Marlene from his knowledge), while Ricky and Renea attempt to steer him away from this idea that he can rekindle a dead flame that gone out, never to ignite again. The Kelippoth demon is mostly darkly lit, I guess to refrain from showing how ludicrous/laughable it looks if presented in full. The lesbian antics of Jasmine and Marlene(Haley Shannon) is mostly tame, their love making, once alone in the woods up against a tree, is toned down and also lighted using the blackness of night. My rating is a bit favorable towards it, almost solely because of Kingsley, for purely superficial reasons, rather than the plot or film-making. The movie aims to please and is marketed to the boys(and girls who love hot women). I think, though, for the most part, the humor falls a bit flat."
