page_id	protest_id	protest_location	protest_start	protest_end	protest_subject	protest_participants	protest_time	protest_description	protest_urls
1	6752	Kenosha, WI	Sunday, November 21, 2021		Subject(s): Kyle Rittenhouse, Legal System - Acquittal, Black Lives Matter Activist/Protester, Joseph Rosenbaum, Anthony Huber, Gaige Grosskreutz, Local - Kenosha	Participant(s): 100	Time: Unclear	Description: No details included for this demonstration.	Source(s):##https://www.kenoshanews.com/watch-now-marchers-protest-rittenhouse-verdict-in-kenosha/video_2c0cba43-c71a-5872-8291-ad68efa5e9d2.html##https://www.kenoshanews.com/news/local/watch-now-protesters-against-rittenhouse-verdict-seek-federal-investigation-jacob-blakes-uncle-says-president-sold/article_0128f4aa-c9da-5eb1-ba15-8daf5499ad54.html
1	6747	Boston, MA	Saturday, November 20, 2021		Subject(s): Kyle Rittenhouse, Legal System - Acquittal, Black Lives Matter Activist/Protester, Joseph Rosenbaum, Anthony Huber, Gaige Grosskreutz	Participant(s): Dozens	Time: Unclear	Description: No details included for this demonstration.	Source(s):##https://boston.cbslocal.com/2021/11/20/boston-protest-kyle-rittenhouse-verdict/
1	6746	Brunswick, GA	Friday, November 19, 2021		"Subject(s): Ahmaud Arbery, Travis McMichael, Gregory McMichael, William ""Roddie"" Bryan"	Participant(s): Unclear	Time: Afternoon	Description: Outside Glynn County Courthouse during McMicheal/Bryan trial	Source(s):##https://www.npr.org/2021/11/20/1057684529/rittenhouse-verdict-disappoints-outside-courthouse-of-arbery-trial
1	6741	Madison, WI	Friday, November 19, 2021		Subject(s): Kyle Rittenhouse, Legal System - Acquittal, Black Lives Matter Activist/Protester, Joseph Rosenbaum, Anthony Huber, Gaige Grosskreutz	Participant(s): 50	Time: Evening	Description: No details included for this demonstration.	Source(s):##https://madison.com/wsj/news/local/crime-and-courts/rittenhouse-acquittal-draws-criticism-at-penn-park-gathering-as-madison-police-mobilize-for-protests/article_8163a9e2-a30d-5aee-80db-4427d6288416.html
1	6740	Portland, OR	Friday, November 19, 2021		Subject(s): Kyle Rittenhouse, Legal System - Acquittal, Black Lives Matter Activist/Protester, Joseph Rosenbaum, Anthony Huber, Gaige Grosskreutz	Participant(s): 200	Time: Evening	Description: No details included for this demonstration.	Source(s):##https://www.koin.com/news/protests/portland-protests-kyle-rittenhouse-verdict-11192021/##https://www.kgw.com/article/news/local/riot-portland-rittenhouse-verdict/283-d46ce346-c450-4e67-a53b-d5a79a551306
1	6739	Chicago, IL	Friday, November 19, 2021		Subject(s): Kyle Rittenhouse, Legal System - Acquittal, Black Lives Matter Activist/Protester, Joseph Rosenbaum, Anthony Huber, Gaige Grosskreutz	Participant(s): 50	Time: Evening	Description: No details included for this demonstration.	Source(s):##https://chicago.suntimes.com/2021/11/19/22792257/kyle-rittenhouse-verdict-chicago-protests-lightfoot-pritzker##https://www.chicagotribune.com/news/breaking/ct-downtown-rittenhouse-protests-20211120-a7o63kt2n5dmfa36pg4vjywfly-story.html
1	6738	New York, NY	Friday, November 19, 2021		Subject(s): Kyle Rittenhouse, Legal System - Acquittal, Black Lives Matter Activist/Protester, Joseph Rosenbaum, Anthony Huber, Gaige Grosskreutz	Participant(s): 200-300	Time: Evening	Description: In Brooklyn	Source(s):##https://www.nydailynews.com/news/national/ny-kyle-rittenhouse-verdict-protests-20211120-wbue3kbhsjat7b4axzmjufqdva-story.html##https://newyork.cbslocal.com/2021/11/20/kyle-rittenhouse-verdict-protest-new-york-city/##https://nypost.com/2021/11/20/nyc-protests-in-response-to-kyle-rittenhouse-not-guilty-verdict/
1	6742	Brunswick, GA	Thursday, November 18, 2021		"Subject(s): Ahmaud Arbery, Travis McMichael, Gregory McMichael, William ""Roddie"" Bryan"	Participant(s): Hundreds	Time: Afternoon	"Description: Outside Glynn County Courthouse during McMicheal/Bryan trial; led by Black pastors 1 wk after defense atty complained about ""Black pastors"" in the courtroom"	Source(s):##https://thebrunswicknews.com/news/local_news/hundreds-of-pastors-rally-at-courthouse/article_0b7967b0-a3c2-5873-a841-dfa53e7e4462.html
1	6737	Kenosha, WI	Thursday, November 18, 2021		Subject(s): Kyle Rittenhouse, Black Lives Matter Activist/Protester, Black Lives Matter Demonstration - Previous	Participant(s): Unclear	Time: Morning-Evening	Description: Former Ferguson police officer attended with	Source(s):##https://wgntv.com/news/emotions-boil-over-as-rittenhouse-demonstrators-collide-once-more/
1	6743	Brunswick, GA	Wednesday, November 17, 2021		"Subject(s): Ahmaud Arbery, Travis McMichael, Gregory McMichael, William ""Roddie"" Bryan"	Participant(s): 100	Time: Morning	Description: Outside Glynn County Courthouse during McMicheal/Bryan trial	Source(s):##https://thebrunswicknews.com/news/local_news/prayer-rally-held-outside-courthouse-for-second-day/article_275afda1-03c0-5657-aeb2-77ec842caa2c.html
2	6736	Kenosha, WI	Wednesday, November 17, 2021		Subject(s): Kyle Rittenhouse, Black Lives Matter Activist/Protester, Black Lives Matter Demonstration - Previous	Participant(s): Unclear	Time: Morning-Evening	Description: No details included for this demonstration.	Source(s):##https://www.wisn.com/article/two-protesters-arrested-outside-kenosha-county-courthouse-for-fighting/38285401
2	6735	Kenosha, WI	Tuesday, November 16, 2021		Subject(s): Kyle Rittenhouse, Black Lives Matter Activist/Protester, Black Lives Matter Demonstration - Previous	Participant(s): 20+ (est.)	Time: Morning-Evening	Description: No details included for this demonstration.	Source(s):##https://www.kenoshanews.com/news/local/watch-now-protesters-abundant-outside-kenosha-county-courthouse-tuesday-civility-not-so-much/article_d2b9709d-a2a5-581c-9e6b-b4fd920f5b2d.html
2	6750	Brunswick, GA	Sunday, November 14, 2021		"Subject(s): Ahmaud Arbery, Travis McMichael, Gregory McMichael, William ""Roddie"" Bryan"	Participant(s): 75	Time: Unclear	Description: Held by Arbery's aunt Thea Brooks; day before jury selection in McMichael/Bryan trial	Source(s):##https://www.wjcl.com/article/pre-trial-prayer-vigil-held-for-ahmaud-arbery-in-glynn-co-sunday/37984569##https://coastalcourier.com/news/video-prayer-vigil-held-eve-arbery-case-jury-selection/
2	6744	Brunswick, GA	Thursday, November 11, 2021		"Subject(s): Ahmaud Arbery, Travis McMichael, Gregory McMichael, William ""Roddie"" Bryan"	Participant(s): Unclear	Time: Morning-Evening (est.)	Description: Outside Glynn County Courthouse during McMicheal/Bryan trial	Source(s):##https://www.wsbtv.com/news/georgia/jury-hears-testimony-owner-home-where-ahmaud-arbery-was-last-seen-alive/KWGD56QW4ZD3BAGC2HECMVS3YQ/
2	6731	Renton, WA	Monday, November 8, 2021		Subject(s): Local - Racism/White Supremacy, Local - Business	Participant(s): 15 (est.)	Time: Unclear	Description: No details included for this demonstration.	Source(s):##https://komonews.com/news/local/blm-protesters-march-in-renton-over-racial-profiling-allegations
2	6734	Kenosha, WI	Friday, November 5, 2021		Subject(s): Jacob Blake, Joseph Rosenbaum, Anthony Huber, Kyle Rittenhouse	Participant(s): 20 (est.)	Time: Unclear	Description: Outside courthouse where Rittenhouse's trial is being held	Source(s):##https://www.cbs58.com/news/supporters-of-jacob-blake-men-killed-by-kyle-rittenhouse-hold-march-and-rally-outside-courthouse
2	6733	Ogden, UT	Thursday, November 4, 2021		Subject(s): School - Racism/White Supremacy, School - Weber State University	Participant(s): 30 (est.)	Time: Unclear	Description: In response to White supremacist posters on campus	Source(s):##http://signpost.mywebermedia.com/2021/11/04/protesting-for-campus-change-2/
2	6732	Salt Lake City, UT	Thursday, November 4, 2021		Subject(s): Local - Government - Mayor Erin Mendenhall, Local - Organization - Community Advocates Group (CAG), Local - Police Reform	Participant(s): 50	Time: Afternoon	Description: No details included for this demonstration.	Source(s):##https://www.ksl.com/article/50276904/recall-mendenhall-black-lives-matter-utah-demands-more-police-reform-from-slc-mayor
2	6724	Kenosha, WI	Monday, November 1, 2021		Subject(s): Kyle Rittenhouse, Joseph Rosenbaum, Anthony Huber, Jacob Blake	Participant(s): 20	Time: Morning	Description: Outside Rittenhouse's trial; attended by Jacob Blake's uncle Justin Blake	Source(s):##https://www.wuwm.com/2021-11-02/blake-family-members-protest-outside-kenosha-courthouse-during-jury-selection-in-rittenhouse-trial##https://www.kenoshanews.com/news/local/numbers-small-but-opinions-strong-early-outside-courthouse-as-rittenhouse-trial-begins/article_0a49850c-9cf1-5e7d-b7d8-71b3c9ed345e.html
2	6728	Cleveland, OH	Friday, October 22, 2021		Subject(s): Local - Legislation/Policy - Issue 24, Local - Law Enforcement - Cleveland Police Department, Local - Police Reform - Civilian Oversight	Participant(s): Dozens	Time: Unclear	Description: No details included for this demonstration.	Source(s):##https://www.news5cleveland.com/news/local-news/group-rallies-for-police-reform-ahead-of-safer-cleveland-ballot-initiative
2	6726	Pittsburgh, PA	Friday, October 22, 2021		Subject(s): Jim Rogers, Local - Law Enforcement - Pittsburgh Police Department	Participant(s): Dozens	Time: Evening	Description: In response to Rogers dying after a police officer tased him; attended by Rogers' family	Source(s):##https://pittsburgh.cbslocal.com/2021/10/22/rally-death-of-jim-justice-tased-pittsburgh-police/
2	6729	Waukegan, IL	Wednesday, October 20, 2021		Subject(s): Marcellis Stinnette, Local - Law Enforcement - Ofc. Dante Salinas, Local - Law Enforcement - Waukegan Police Department	Participant(s): 24	Time: Unclear	Description: Led by Stinnette's family	Source(s):##https://www.chicagotribune.com/suburbs/lake-county-news-sun/ct-lns-police-shooting-protest-st-1022-20211021-p3e5fpkoyzgmzjfx3blphok7ti-story.html
2	6727	Sharon Hill, PA	Sunday, October 17, 2021		Subject(s): Fanta Bility, Local - Law Enforcement - Sharon Hill Police Department	Participant(s): 50	Time: Unclear	Description: In response to police allegedly shooting & killing 8-year-old Fanta Bility	Source(s):##https://www.inquirer.com/news/fanta-bility-shot-sharon-hill-police-protest-20211017.html
2	6616	Rome, GA	Friday, October 8, 2021		Subject(s): Local - Education - Coosa High School, Local - Racism/White Supremacy	Participant(s): Unclear	Time: Morning-Afternoon	Description: At Coosa High School; student-led protest in response student racism & alleged discrimination by school administration	Source(s):##https://kesq.com/news/2021/10/09/high-school-students-claim-they-were-suspended-for-planning-protest-of-rebel-flag/
2	6614	Essex Junction, VT	Tuesday, October 5, 2021		Subject(s): Local - Government - Essex Westford School Board, Local - Racism/White Supremacy, Local - Black Lives Matter Movement	Participant(s): 30	Time: Evening	Description: No details included for this demonstration.	Source(s):##https://www.wcax.com/2021/10/06/people-rally-essex-junction-following-school-board-meeting/
2	6615	Normal, IL	Monday, October 4, 2021		Subject(s): Jelani Day, Local - Art - Mural, Local - Government - Normal Town Council	Participant(s): 30 (est.)	Time: Evening	Description: Against council's decision to remove artwork of Day	Source(s):##https://www.wglt.org/local-news/2021-10-04/jelani-day-art-removal-brings-strong-emotions-to-normal-council-chambers##https://www.facebook.com/events/2032789303563691
2	6613	Johnson City, TN	Friday, October 1, 2021		Subject(s): Jared Benjamin Lafer, Black Lives Matter Protester/Activist	Participant(s): 30	Time: Evening	Description: Against grand jury decision not to indict Lafer who ran over BLM protester	Source(s):##https://easttennessean.com/2021/10/03/protest-held-after-charges-dropped-against-jared-lafer/##https://www.johnsoncitypress.com/news/black-lives-matter-demonstrators-march-through-downtown/article_f7057c76-22e1-11ec-ad59-5b423ccc8d40.html##https://www.instagram.com/p/CUbcYvRIuka/
2	6612	Mapleton, MN	Friday, October 1, 2021		Subject(s): School - Racism/White Supremacy	Participant(s): 1	Time: Evening	Description: Mother held Black Lives Matter sign at football game after son experienced racism at school; sign ripped from her hands	Source(s):##https://www.mankatofreepress.com/news/local_news/blm-sign-ripped-from-womans-hands-at-maple-river-game-police-intervene/article_09a0050a-252f-11ec-84a5-cb65d8abfacb.html
2	6725	San Francisco, CA	Friday, September 24, 2021		Subject(s): Haitian Migrants, Federal - Biden Administration, Customs and Border Patrol (CBP)	Participant(s): 50	Time: Unclear	Description: Against treatment of Haitian migrants by US/Mexico border by CBP	Source(s):##https://peninsulapress.com/2021/10/18/protest-in-san-francisco-criticizes-treatment-of-haitian-migrants-at-mexico-u-s-border/
2	3826	Richmond, VA	Wednesday, June 3, 2020	- Wednesday, September 8, 2021	Subject(s): George Floyd, General - Police Brutality	Participant(s): Unclear	Time: Continuous	Description: Repeated defacement of Robert E. Lee monument on Monument Ave; statue removed on 9/8/21	Source(s):##https://richmond.com/news/this-statue-represents-division-the-nations-largest-confederate-statue-no-longer-stands-on-monument-avenue/article_08094df8-591e-5f84-b1fa-8b5d99c49522.html##https://www.npr.org/2020/06/12/876124924/in-richmond-va-protestors-transform-a-confederate-statue##https://twitter.com/parthhkotak/status/1271838290593878016
3	6618	Atlantic City, NJ	Saturday, September 4, 2021		Subject(s): Local - Art - Mural, Local - Racism/White Supremacy, General - Voter Suppression, General - Police Brutality	Participant(s): 15+ (est.)	Time: Afternoon	Description: No details included for this demonstration.	Source(s):##https://pressofatlanticcity.com/news/local/photos-labor-day-weekend-black-lives-matter-rally-on-atlantic-city-boardwalk/collection_0e7fc636-0de3-11ec-8253-bf1f124e12af.html##https://pressofatlanticcity.com/gallery/black-lives-matter-protest-on-the-atlantic-city-boardwalk/collection_e76d706d-56b8-51bb-8117-61ebf183d165.html##https://www.nj.com/atlantic/2020/09/black-lives-matter-painted-across-atlantic-city-street-as-officials-activists-come-together.html##https://wpgtalkradio.com/atlantic-city-activist-steve-young-we-are-black-and-we-are-back/
3	6617	Lovingston, VA	Saturday, September 4, 2021		Subject(s): 15-year-old student, Local - Law Enforcement - Nelson County Sheriff's Office (NCSO)	Participant(s): 50	Time: Afternoon	Description: In response to violent arrest of 15 year-old student by NCSO	Source(s):##https://newsadvance.com/news/local/education/photos-demonstrators-take-to-the-streets-of-lovingston-to-demand-justice-for-15-year-old/collection_9de7ed3c-0daf-11ec-93f1-67f20e4a4f75.html#12
3	6619	Washington, DC	Friday, September 3, 2021		Subject(s): An’Twan Gilmore, Local - Law Enforcement - Ofc. Enis Jevric, Local - Law Enforcement - Metropolitan Police Department of the District of Columbia (MPD)	Participant(s): 150	Time: Evening	Description: No details included for this demonstration.	Source(s):##https://dcist.com/story/21/09/04/antwan-gilmore-george-watson-dc-march/##https://www.popville.com/2021/09/protest-for-antwan-gilmore-9-3/
3	6621	Washington, DC	Thursday, September 2, 2021		Subject(s): Local - School - Lancaster High School, Local - Racism/White Supremacy	Participant(s): 20+	Time: Unclear	Description: No details included for this demonstration.	Source(s):##https://www.lancastereaglegazette.com/story/news/2021/09/02/lancaster-high-school-students-peacefully-protest-bullying-racism/5694971001/
3	6620	Washington, DC	Thursday, August 26, 2021		Subject(s): An’Twan Gilmore, Local - Law Enforcement - Ofc. Enis Jevric, Local - Law Enforcement - Metropolitan Police Department of the District of Columbia (MPD)	Participant(s): 40+ (est.)	Time: Evening	Description: No details included for this demonstration.	Source(s):##https://www.popville.com/2021/08/antwan-gilmore-dc-protest/
3	6438	Louisville, KY	Sunday, August 1, 2021		Subject(s): Ta’Neasha Chappell, Local - Prison/Jail - Jackson County Jail	Participant(s): 50+	Time: Evening	Description: No details included for this demonstration.	Source(s):##https://www.wdrb.com/news/several-protests-held-for-louisville-woman-who-died-while-in-custody-at-jackson-county-jail/article_c56a02ac-f336-11eb-81dc-4be880ff2fcf.html##https://www.wave3.com/2021/08/02/i-think-it-was-staged-protesters-march-through-louisville-faith-event-pastor-disagrees-with-demonstration/
3	6439	Louisville, KY	Saturday, July 31, 2021		Subject(s): Ta’Neasha Chappell, Local - Prison/Jail - Jackson County Jail	Participant(s): 30-50 (est.)	Time: Evening	Description: No details included for this demonstration.	Source(s):##https://www.wave3.com/2021/08/01/protesters-demand-answers-jackson-county-jail-after-woman-dies/
3	6411	Tarrant, AL	Thursday, July 22, 2021		Subject(s): Local - Government - City Councilman John “Tommy” Bryant, Local - Racism/White Supremacy	Participant(s): 12	Time: Unclear	Description: No details included for this demonstration.	Source(s):##https://www.al.com/news/2021/07/black-lives-matter-naacp-activists-protest-tarrant-councilmans-use-of-n-word.html
3	6408	Chapel Hill, NC	Monday, July 12, 2021		Subject(s): Local - College/University - UNC Chapel Hill, Local - Law Enforcement - UNC Police Department, Local - Racism/White Supremacy	Participant(s): 30	Time: Unclear	Description: At UNC-Chapel Hill	Source(s):##https://www.newsobserver.com/news/local/education/article252726043.html
3	6409	New Haven, CT	Sunday, July 11, 2021		Subject(s): Local - Education - New Haven Public Schools, Local - Education - New Haven Board of Education, Local - Education - Supt. Iline Tracey, Local - Racism/White Supremacy	Participant(s): 30 (est.)	Time: Unclear	Description: No details included for this demonstration.	Source(s):##https://www.newhavenindependent.org/index.php/archives/entry/board_of_ed_rally/
3	6407	Hampton, VA	Saturday, July 10, 2021		Subject(s): Local - Intracommunity Violence, Local - Gun Violence	Participant(s): 25	Time: Evening	Description: No details included for this demonstration.	Source(s):##https://www.dailypress.com/news/dp-nw-blm-757-community-violence-protest-20210711-26o4sbp4inctpfqoyg37zyotfm-story.html
3	6410	Sudbury, Ontario, Canada	Friday, July 9, 2021		Subject(s): Local - Law Enforcement - Greater Sudbury Police Service	Participant(s): 40 (est.)	Time: Unclear	Description: 1 yr anniversary of Black Lives Matter Sudbury	Source(s):##https://northernontario.ctvnews.ca/black-lives-matter-marks-one-year-in-sudbury-1.5504336
3	6406	Mount Laurel, NJ	Monday, July 5, 2021		Subject(s): Local - Racism/White Supremacy	Participant(s): 150+	Time: Evening	"Description: After White man dared Black man to ""come see me"" while yelling racist attacks, protesters went to his house"	Source(s):##https://www.inquirer.com/news/new-jersey/mount-laurel-racist-ran-police-video-viral-20210705.html##https://nj1015.com/racist-rant-triggers-angry-protest-in-mt-laurel/
3	6402	Providence, RI	Saturday, July 3, 2021		Subject(s): Local - Law Enforcement - Providence Police Department, Local - Police Brutality	Participant(s): 150+	Time: Evening	"Description: In response to police forced used at ""Sayles Street brawl"""	Source(s):##https://www.providencejournal.com/story/news/local/2021/07/03/im-really-tired-protesters-pan-police-sayles-street-response/7853748002/##https://upriseri.com/sayles-st-defund-the-police-rally/
3	6405	Sarasota, FL	Thursday, July 1, 2021		Subject(s): Ofc. John Clancy, Ofc. Paul Gagnon, Local - Law Enforcement - Sarasota Police Department, Local - Police Brutality	Participant(s): 30	Time: Evening	Description: No details included for this demonstration.	Source(s):##https://www.heraldtribune.com/story/news/local/sarasota/2021/07/02/protesters-want-more-accountability-less-profiling-sarasota-police/5371232001/
3	6401	Potsdam, NY	Thursday, July 1, 2021		Subject(s): General - Police Brutality, Local - Police Brutality	Participant(s): 25	Time: Evening	Description: No details included for this demonstration.	Source(s):##https://www.wwnytv.com/2021/07/01/blm-potsdam-founder-passes-torch-new-leaders/##https://www.nny360.com/news/stlawrencecounty/rallying-for-racial-justice-in-potsdam/article_4ab40a10-cbbf-5f42-8d9a-a47572088724.html
3	6417	Minneapolis, MN	Friday, June 4, 2021	- Saturday, June 5, 2021	Subject(s): Winston Smith, Local - Law Enforcement	Participant(s): 27	Time: Evening	Description: No details included for this demonstration.	Source(s):##https://www.startribune.com/protests-continue-into-night-after-fatal-uptown-shooting-minneapolis-winston-smith-police/600064603/##https://www.startribune.com/third-night-of-protests-underway-in-uptown/600065030/
3	6415	Minneapolis, MN	Saturday, June 5, 2021		Subject(s): Winston Smith, Local - Law Enforcement - Hennepin County Sheriff's Office, Local - Law Enforcement - Ramsey County Sheriff's Office	Participant(s): 100+ (est.)	Time: Evening	Description: Included rally at site where officers killed Smith	Source(s):##https://www.startribune.com/third-night-of-protests-underway-in-uptown/600065030/
3	6414	North Bergen, NJ - verify	Saturday, June 5, 2021		Subject(s): TBD	Participant(s): TBD	Time: Afternoon	Description: No details included for this demonstration.	Source(s):##https://hudsoncountyview.com/black-lives-matter-rally-coming-to-north-hudson-for-second-year-in-a-row-tomorrow/
3	6413	Henrico, VA	Saturday, June 5, 2021		Subject(s): Local - Law Enforcement - Henrico County Police Department, General - Law Enforcement	Participant(s): Dozens	Time: Afternoon	Description: Following county decision to not create civilian review board over police	Source(s):##https://www.wric.com/news/local-news/henrico-county/protesters-march-in-henrico-against-the-decision-to-scrap-civilian-review-board-plan/]\##https://www.nbc12.com/2021/06/05/black-lives-matter-804-calls-justice-rally-henrico/##https://www.instagram.com/p/CO09mHMDDNG/
4	6412	Detroit, MI	Saturday, June 5, 2021		Subject(s): Local - Law Enforcement - Detroit Police Department, Local - Location - 8 Mile Road, Local - Police Brutality	Participant(s): 100+	Time: Afternoon	Description: No details included for this demonstration.	Source(s):##https://www.freep.com/story/news/local/michigan/detroit/2021/06/05/racial-profiling-protest-8-mile-detroit/7552406002/
4	6421	Kansas City, MO	Friday, June 4, 2021		Subject(s): Local - Law Enforcement - Kansas City Police Department, Local - Police Brutality	Participant(s): 50+ (est.)	Time: Evening	Description: 1yr anniversary of protests; included families of people killed by local police	Source(s):##https://www.kmbc.com/article/protesters-hold-friday-night-march-protest-in-front-of-kcpd-headquarters/36636578
4	6416	Minneapolis, MN	Friday, June 4, 2021		Subject(s): Winston Smith, Local - Law Enforcement	Participant(s): 100 (est.)	Time: Afternoon-Evening	Description: Included vigil at site where Smith was killed by police	Source(s):##https://www.startribune.com/family-of-man-shot-and-killed-by-police-holds-rally/600064747/
4	6418	New York, NY	Wednesday, June 2, 2021		Subject(s): George Floyd, General - Police Brutality	Participant(s): Dozens	Time: Evening	Description: In Manhattan/Upper East Side, 1 anniversary of daily marches after Floyd's murder	Source(s):##https://patch.com/new-york/upper-east-side-nyc/ues-black-lives-matter-group-marks-1-year-nightly-vigils##https://www.instagram.com/p/CPnsz4LD9vz/
4	6422	Fayetteville, NC	Tuesday, June 1, 2021		Subject(s): Andrew Brown, Solidarity - Elizabeth City, Local - Law Enforcement	Participant(s): 40+	Time: Afternoon	Description: Attended by sister Daunte Wright, who was killed by police in Minnesota	Source(s):##https://www.fayobserver.com/story/news/2021/06/02/fayetteville-activists-faith-leaders-rally-solidarity-elizabeth-city-andrew-brown-death/5289993001/
4	6403	Potsdam, NY	Tuesday, June 1, 2021		Subject(s): Local - Law Enforcement, General - Police Brutality	Participant(s): 30+	Time: Evening	Description: 1-year anniversary of BLM Potsdam	Source(s):##https://www.northcountrypublicradio.org/news/story/43875/20210603/on-potsdam-black-lives-matter-anniversary-residents-seek-police-accountability##https://www.nny360.com/news/stlawrencecounty/one-year-later-potsdam-black-lives-matter-rallies-again/article_218576ce-c896-5a1f-b168-42b7c1c52ee2.html
4	6420	Beverly Hills, CA	Monday, May 31, 2021		Subject(s): David Schwartzman, Local - Location - Baldwin Hills Crenshaw Mall	Participant(s): 30+ (est.)	Time: Afternoon	Description: No details included for this demonstration.	Source(s):##https://patch.com/california/beverlyhills/protestors-gather-outside-beverly-hills-ceo-home
